symptom_description,disease_label,cleaned,processed,num_label
My urine is terribly cloudy and dark and I have a burning feeling when I pass it.,UTI,my urine is terribly cloudy and dark and i have a burning feeling when i pass it,urine terribly cloudy dark burn feeling pass,34
"My big toe is mildly swollen, red, and so painful I cannot put weight on it.",Gout,my big toe is mildly swollen red and so painful i cannot put weight on it,big toe mildly swollen red painful not weight,18
My joint pain is unbearably constant and is affecting my ability to do daily tasks.,Arthritis,my joint pain is unbearably constant and is affecting my ability to do daily tasks,joint pain unbearably constant affect ability daily task,5
My temperature is high and I have moderately fluid-filled spots that keep spreading.,Chickenpox,my temperature is high and i have moderately fluid filled spots that keep spreading,temperature high moderately fluid fill spot spread,9
My hands and feet are unbearably cold all the time and I feel exhausted constantly.,Anaemia,my hands and feet are unbearably cold all the time and i feel exhausted constantly,hand foot unbearably cold time feel exhausted constantly,2
I have had a terribly tension headache for hours and my neck feels knotted.,Tension Headache,i have had a terribly tension headache for hours and my neck feels knotted,terribly tension headache hour neck feel knot,31
I have a unbearably painful rash on one side of my torso with fluid-filled blisters.,Shingles,i have a unbearably painful rash on one side of my torso with fluid filled blisters,unbearably painful rash torso fluid fill blister,28
I have a somewhat gritty feeling in my eye like something is stuck in it.,Conjunctivitis,i have a somewhat gritty feeling in my eye like something is stuck in it,somewhat gritty feeling eye like stick,11
I feel fairly depressed and my thinking has become slow and foggy.,Hypothyroidism,i feel fairly depressed and my thinking has become slow and foggy,feel fairly depressed thinking slow foggy,21
The pimples on my face are terribly red and they leave dark marks behind.,Acne,the pimples on my face are terribly red and they leave dark marks behind,pimple face terribly red leave dark mark,0
I feel very pressure in my head and my heart races for no apparent reason.,Hypertension,i feel very pressure in my head and my heart races for no apparent reason,feel pressure head heart race no apparent reason,20
My face has been breaking out mildly since yesterday and the spots are severely painful.,Acne,my face has been breaking out mildly since yesterday and the spots are severely painful,face break mildly yesterday spot severely painful,0
I have noticeably bloating and stomach cramps that come on after eating.,IBS,i have noticeably bloating and stomach cramps that come on after eating,noticeably bloat stomach cramp come eat,22
I get slightly breathless just climbing stairs and my heart races for no reason.,Anaemia,i get slightly breathless just climbing stairs and my heart races for no reason,slightly breathless climb stair heart race no reason,2
I have a severely dull headache across my forehead and face feels very congested.,Sinusitis,i have a severely dull headache across my forehead and face feels very congested,severely dull headache forehead face feel congested,29
I have noticeably inflamed pimples on my forehead and chin that keep getting worse.,Acne,i have noticeably inflamed pimples on my forehead and chin that keep getting worse,noticeably inflame pimple forehead chin get bad,0
I feel a very burning sensation behind my breastbone throughout the day.,GERD,i feel a very burning sensation behind my breastbone throughout the day,feel burn sensation breastbone day,16
I have very constipation and feel sluggish and cold throughout the day.,Hypothyroidism,i have very constipation and feel sluggish and cold throughout the day,constipation feel sluggish cold day,21
The pain in my knees and fingers has been getting rather worse over time.,Arthritis,the pain in my knees and fingers has been getting rather worse over time,pain knee finger get bad time,5
My stomach is moderately cramped and I keep vomiting after eating out yesterday.,Food Poisoning,my stomach is moderately cramped and i keep vomiting after eating out yesterday,stomach moderately cramp vomit eat yesterday,15
I have been crying quite often for no clear reason and feel utterly worthless.,Depression,i have been crying quite often for no clear reason and feel utterly worthless,cry no clear reason feel utterly worthless,12
I have lost my appetite and have a moderately stabbing pain in my right lower belly.,Appendicitis,i have lost my appetite and have a moderately stabbing pain in my right lower belly,lose appetite moderately stab pain right low belly,4
I feel a quite grinding sensation in my knees when I walk or go up stairs.,Arthritis,i feel a quite grinding sensation in my knees when i walk or go up stairs,feel grind sensation knee walk stair,5
My chest tightens slightly whenever I am near smoke or strong smells.,Asthma,my chest tightens slightly whenever i am near smoke or strong smells,chest tighten slightly near smoke strong smell,6
I have had a loss of taste since yesterday alongside a dry cough and slightly fatigue.,COVID-19,i have had a loss of taste since yesterday alongside a dry cough and slightly fatigue,loss taste yesterday alongside dry cough slightly fatigue,8
I feel a little isolated and have stopped socialising because nothing feels enjoyable.,Depression,i feel a little isolated and have stopped socialising because nothing feels enjoyable,feel little isolated stop socialise feel enjoyable,12
My head hurts unbearably on one side and I feel nauseous and dizzy with it.,Migraine,my head hurts unbearably on one side and i feel nauseous and dizzy with it,head hurt unbearably feel nauseous dizzy,25
I have been coughing slightly for days and feel wheezy and breathless.,Bronchitis,i have been coughing slightly for days and feel wheezy and breathless,cough slightly day feel wheezy breathless,7
My chest is a little painful and I feel incredibly feverish with a rattling cough.,Pneumonia,my chest is a little painful and i feel incredibly feverish with a rattling cough,chest little painful feel incredibly feverish rattle cough,26
My head hurts fairly on one side and I feel nauseous and dizzy with it.,Migraine,my head hurts fairly on one side and i feel nauseous and dizzy with it,head hurt fairly feel nauseous dizzy,25
The pain in my lower back is severely and it moves toward my groin in waves.,Kidney Stones,the pain in my lower back is severely and it moves toward my groin in waves,pain low severely move groin wave,24
I suddenly have noticeably difficulty speaking and my words are not coming out right.,Stroke,i suddenly have noticeably difficulty speaking and my words are not coming out right,suddenly noticeably difficulty speak word not come right,30
